company,answer,summary,luck,work,people
Dang Foods,"I would say a ton of our early success was attributed to luck. For example, the timing of coconut chips. If we had waited another year to launch coconut chips, it would have been too late. And if we had gone earlier, it would have been too early. So we launched right at the right year and then getting on the radar of retailers and influencers. Like we didn't know that was going to happen. That, that, that was lucky. Also launching at a time where coconut was on trend. Like that was lucky, but more recently, you know, we have more to lose if we make mistakes. So we have to put forth the effort to ensure that we're successful. So we test products many times before putting them out in the world because you only have one chance to earn a customer. They don't give you a second chance, Andrew. And my response would be in line with that. I'd say 70, 30 luck effort in the early years. And more recently, it's been 70 effort 30 luck.","The success of the guest is attributed to a combination of luck and hard work. They acknowledge that luck played a significant role in their early success, such as the timing of launching their product. However, they emphasize that more recently, their success is more dependent on their effort and dedication to ensuring the quality of their products.",7,8,0
Dogfish Head Craft Brewery,"Oh, I, I don't think it can be either or I think there was a lot of hard work, different, hard work along the way, but there's so much that we've talked about today that is like, and then we had this amazing opportunity and then this really cool thing happened. So I think the luck kind of came to us cuz we were looking for it. You know, we didn't pass by opportunities. That in hindsight were really amazing, lucky opportunities that we had.",The guest believes that their success is a combination of hard work and luck. They acknowledge the hard work they put in but also attribute some of their success to fortunate opportunities that came their way.,5,7,0
Wisdom From The Top,Question/Answer not found,Question/Answer not found,0,0,0
I.R.S. Records,"I think that no matter who you are, there's always an element of luck. You know, are you at the right place at the right time? Do you make one decision that really works? And my title of my memoir was, you know, two Steps Forward, one Step Back. Yeah. My Life in the Music business was really to say, look, you know, you're gonna make mistakes and you have to accept the fact that you're gonna make mistakes. And that's part of it. So, you know, I I would say overall, yeah. Was I personally lucky? Yeah. I I I have to say I was lucky. Did I have things that I say were unlucky? Yeah. But you can't dwell on those things, you know, I have to say, well, overall I did fine.","Success in the music business is a combination of luck, making mistakes, and perseverance.",5,5,0
Author and Podcaster,Question/Answer not found,Answer not found,0,0,0
Logic,"I think it's probably somewhere in the middle between the both, you know, I look back at my life and I think being raised by my parents played, played a large role in, in who I am as a person today and instilling confidence in me. How serendipity played such a role in me discovering who logic was. I told the story. If I hadn't been sitting at my computer at that very moment to click that YouTube link and see the video of logic. I don't think we'd be sitting here today, but there's a large, large portion of that where, you know, it, it, it just takes an almost unimaginable amount of hard work and perseverance because of every roadblock and every door that's closed to figure out a way to get through it. I think it lives somewhere in the middle. I think my journey, I would, I would probably have one foot in hard work and intelligence and grind and hustle and one foot in pure and simple luck logic.","The guest believes that their success is a combination of luck, hard work, and the influence of the people around them. They attribute their upbringing by their parents as a significant factor, as well as a serendipitous moment that led them to a pivotal discovery. They also emphasize the importance of hard work, perseverance, and adaptability in overcoming obstacles.",5,5,5
Atlassian,"I think you need both. Like, I really believe that you make your own luck to some extent. And so you need to work really hard and teach yourself and so forth. But a there's been a lot of things that worked out in retrospect, we were lucky, you know, we were in an era in a time when Australia can operate on a world stage. If I were born 50 years earlier, that would be what harder or, you know, the internet came around. So there's a whole lot of things that were the right timing. And we just managed to take advantage of them cause of who we were in our schools.","Success is attributed to a combination of luck, hard work, and taking advantage of the right timing and opportunities.",4,6,4
Chipotle and Kernel,Question/Answer not found,Question/Answer not found,0,0,0
Birchbox,"50/50? I think it's not just grinding but I think resilience is underestimated. I'd like to endure kind of being kicked down a lot. So when you have headwind or when you have the challenges, you know, what do you choose to do in those moments? And I think it would be tough to imagine not building. It would be tough to imagine not trying to invent reality to be honest. It really excites me to imagine the world. I want to exist until","The guest believes that success is a combination of hard work, resilience, and the ability to overcome challenges. They emphasize the importance of enduring setbacks and pushing through difficult moments in order to achieve success.",5,8,0
CreativeMornings,Question/Answer not found,No answer provided for the question,0,0,0
Harry’s Razors,"I think that there's certainly been a lot of serendipity in luck in my life. Like, you know, having been sitting with Neil after class one day when Dave walked up with the idea for Warby Parker, like Andy having gotten to know Andy at Bain, like, gosh, I could have made a hundred different decisions in life that I wouldn't have where I wouldn't have gotten to know him. And I think like in making the ideas come to life, I think we've, we've worked really hard to go do that and I think made a lot of conscious decisions over time. Some days I'm like, oh gosh, I just wish we could get a break. And then we get a great break and it's awesome and we learn something new. But I think that's probably a function of the fact that we have a team that's continuing to iterate and innovate. And so I guess, you know, in that way, like we do kind of manufacture our, our own luck success. I think Jeff's being modest because I would find he'd be a really lucky guy to have started two multi-billion dollar brands and just gotten lucky. So there, there's probably, you know, 15 or 20 people on the planet who can say that they've successfully started two multi-billion dollar companies. I would ascribe the lucky part to be like situation and circumstance. Like I was lucky having access to like amazing education and, the a network where fundraising was easier than it might be for somebody who was born into a different environment. You know, I think the adversity along the way and kind of determination to sort of push through that adversity is, is not luck at all. It's just hard work. It's me and Jeff that, that have to sort of steer the, the ship there. So, you know, I, I don't think that part is, is luck. A lot of that's hard work.","Success is attributed to a combination of luck, hard work, and the people around them. The individual acknowledges the role of luck in encountering opportunities and having access to resources, but also emphasizes the importance of working hard and making conscious decisions to bring ideas to life.",5,5,5
Diapers.com & Jet.com,"I think it was a combination of all three. I could think of things that, where I did get lucky where things could have gone a different way and I've been really screwed, but at the same time, the drive to keep coming like the Terminator, I wouldn't accept failure. You know, I just would keep going and going and going until, until the luck turn my way. So I happened to get lucky. Cause I think things could have been a lot worse, but I also don't accept the fact that if I was unlucky that I wouldn't have just kept coming at it until I got lucky.","Success is attributed to a combination of luck, hard work, and perseverance.",4,6,4
Shopify,"Honestly, even now, that you talked about us, it's crazy to me, right? I probably try to just not think too much about it. It's hugely gratifying, but it's also, I think, the important thing is just that I remind myself how much of this was luck. The most amazing was coming from a wonderful family here in Canada to support us along the way, the incredible timing of when we started. Like, this is not a kind of company that could have been started even two years later, right? It needed to be started right then, and I needed to be ready and good by the time the opportunity around our financial crisis came around, all these things. When we went public, and luck is such a major component of this journey. So, like, why am I the person who ended up, you know, winning the lottery five times in a row? I don't know.","The guest attributes a significant portion of their success to luck, acknowledging the timing of their endeavors and the support from their family. They emphasize the importance of recognizing the role luck played in their achievements.",8,2,6
Roblox,"Yeah, I think there was some luck in having the capability both financially and where I was to be able to go with my intuition. I think, you know, my intuition pulled me towards the interactive physics and when we were running knowledge revolution, we would always chat about what's the next thing. So I'm, I'm pretty fortunate in having that time to take that time off and to start hacking around. And then I would say at the same time, I mean, at times this has been the hardest thing I could ever imagine. This is, there has been times when we've all thought, oh my gosh, this is the hardest thing we've ever done. This is really difficult. So it's been a balance. We've seen both sides of that. Really.","The guest attributes some of their success to luck, mentioning having the capability financially and being in the right place to follow their intuition. They also acknowledge the role of hard work and skill, mentioning the challenges faced and the balance between difficulty and fortune.",5,7,0
Mary's Gone Crackers,"The way I look at it is that when you get a message from the spirit world or whatever you wanna call it, you hear a voice, you hear, you have an idea that really touches to your core whatever language you wanna use, and you don't honor that, that's a mistake because when you honor it, the universe works with you and supports you. And yes, we worked really hard, but there was, there was a lot of magic involved. There were so many moments when it could have gone the wrong way and it didn't. And so I don't think of, I don't think luck is the word that I would use. I would say that we dove in a hundred percent and we made that commitment and the universe supported us. And it's always a team effort between what we do in this physical world and making sure that the message that we're sending to, to the other realm is that we really want this, we're really committed to it, and we're gonna do whatever it takes to make it happen. Because when you do that, the rest of the world, the other, the invisible realm lines up behind you to make it happen.","Success is attributed to a combination of hard work, commitment, and the support of the universe and the invisible realm.",2,8,5
BloomX,Question/Answer not found,Question/Answer not found,0,0,0
Etsy,"Yeah, such a great question. How much of it is under my control, which is my own hard work, and how much of it is out of my control, which is luck, and the older I get, the more it feels like there's at least one other force in play, the kind of karmic force or providence or whatever. So without all of these different forms of luck of being born in the United States, of being born in a middle-class family of this really strange path that I took through school of literally handing my rent check to my landlord when he happened to be holding a piece of paper to make a proposal for a website. Like how can you look at that and not think it's both luck and some form of providence? So I think that's the prerequisite. And then all the hard work is what follows. And you get to lean into both.","Success is attributed to a combination of luck and hard work, with emphasis on the role of luck and providence in shaping opportunities.",7,8,5
method,Question/Answer not found,Question/Answer not found,0,0,0
KiwiCo,"Yeah, certainly when I think about the cards that I've been dealt, I consider myself to be very, very lucky in many ways. But I also think that sometimes luck implies a level of like passivity or, or kind of chance. And I'm a big believer in the notion of making things happen versus things happening to me. You can be really active in creating your luck and that luck kind of creates opportunities and then there's a ton of hard work that actually goes into chasing down those opportunities. So I would say a combination of both.","Success is a combination of luck and hard work, with emphasis on actively creating opportunities and putting in the effort to pursue them.",4,6,0
TaskRabbit,"I think it's definitely both. I think that there are definitely times that through circumstance, I was very lucky. For instance, being able to be out to dinner and get connected with Scott Griffith from an old coworker, like, Hey, you can't plan some of these things to happen. The Sarah. And there was a lot of serendipity. And I think at the same time, given the serendipity, you have to be able to capture it and execute on it. And so for me, I feel like it was very much both.","Success is attributed to both luck and hard work, with emphasis on serendipity and the ability to capitalize on opportunities.",5,5,0
Milk Bar,"I think it was more opportunity than it was luck. I think it was. I'm never like the one that I don't win scratch-off lotto tickets. That is a Splurge. That's what I left out. I don't consider myself to really have great luck. I'm never the one that like wins the contest but I show up and I mean it and I'm just a really big believer in good people that show up and mean it winning in the end. And I think that's a mixture of like focus and smarts and hard work and PS like I had no Street smarts when I moved to New York City all of these skills, you can sharpen As long as you remove the barriers to convincing yourself, you can sharpen your skills and it's opportunity and and like an opportunity knocks when that Blackberry starts buzzing. You better get your heinie out of bed and get to it","The guest believes that their success was more due to opportunity than luck. They emphasize the importance of hard work, focus, and surrounding oneself with good people.",3,7,5
Tarte Cosmetics,"Oh, I think both. I think luck and hard work for sure. I think that I've worked really, really hard and have had a lot of support throughout my life, but I also feel like I've been lucky. You know, I'm very blessed. So I feel like both of them, for sure.","Success is attributed to both luck and hard work, with a significant emphasis on hard work and support from others.",4,6,4
The Tonight Show & Electric Hot Dog,Question/Answer not found,Question/Answer not found,0,0,0
Tory Burch,"I think it's definitely both, because there's been a lot of luck along the way, and I'm an extremely superstitious person, so I realize that. But there has been such a tremendous amount of work that has gone into this company by so many people and, and me included. So I think they go hand in hand. And I think that we always need a little luck, and I'm hoping that that continues. But I don't see a world where we're not working and, and doing inspiring work. But it's hard work that that's ahead.","Success is attributed to a combination of luck and hard work, with an emphasis on the importance of both factors.",5,8,7
HOORAE,"Oh man. I mean, I know I worked hard as hell. I still do. I work hard as hell, but I can't deny that things had to align for this to work out. Like there's just so many. I say it's 70% work, 30% luck in some ways. And, and that scares me sometimes because I'm like, oh my God, all these things had to go right for me to be here. And I'm so happy I'm here. But like I can identify those fork in the road moments where if I had just made a different decision, maybe I wouldn't be talking to you. And I'm very, very fascinated by that. But I also try not to spend too much time thinking about those, those moments.","Success is attributed to 70% work and 30% luck, with a recognition of the importance of alignment of factors for success.",3,7,0
McBride Sisters Wine (Part 2 of 2),I would say 99% of it is our hard work and intelligence and then there's a small percentage that I think is what people might refer to as luck.,"The guest believes 99% of their success is attributed to hard work and intelligence, with a small percentage being luck.",1,9,0
Ooni Pizza Ovens,"I mean, it's so much of it is luck. It's like, it's a luck of timing coming up with an idea in the first place and luck of both Trina and I being the people who had this idea, there's a, there's a lot of hard work that's gone into it, but I mean, you can't deny the fact that, I mean we have been incredibly lucky with, with the original invention, lucky with the team that we've managed to build around ourselves. So yeah, we do, we do really feel really, really fortunate. Yeah. We didn't have to give up city jobs to make this happen, which I think is a very important thing when you look at kind of entrepreneurs generally. Yeah. We were used to, whilst we did fine, like we had a really nice life on very little money before, so it wasn't that risk really. So we were able to, you know, plow it all into the business for so long and I think that has helped us as well that, that modesty I guess.","Success is attributed to a combination of luck, hard work, and the people around them.",7,8,5
Sir Kensington's,"I attribute a large amount of what we have accomplished to luck. Most definitely. I also believe that we have worked very hard and that we've been focused and that we've put a lot of effort into what we do. But we are extremely fortunate. I mean, like Mark said, so much of what we did was right place, right time. This is like in the changing taste of America. It was the proclivities of, of our ultimate acquirer and the fact that we've both come, you know, from some, some means, right? We had a little bit of a, a leg up, just socioeconomically all that is very much luck. But I always go back to again, my dad, he has this great saying, which is the harder I work, the luckier I get. But I do feel like I'm a lucky guy. It's all talent. No luck. No, I'm kidding. Maybe the only different thing I would say is there's being lucky and then there's knowing what to do with the fortune. The fortune when it's handed to you. You know, I think it was lucky that Scott came back to the business in a role that was so beautiful, but it took work to integrate that role into the business on both of our parts. And I think we've had a ton of luck from beginning to end. But you know, I think we've also put in a lot of time to be self-aware of our faults and our deficiencies to keep our egos pretty low. To recognize that I don't think I know anything about being a C E O. Honestly. I think I'm at the very beginning of figuring out how to do this job. And I approach every day thinking like, what is the luck that I'm gonna turn into opportunity today?","The guests attribute a significant amount of their success to luck, while also acknowledging the importance of hard work and effort. They mention being fortunate in terms of timing, socioeconomics, and opportunities, but emphasize the value of working hard and being self-aware. They believe in making the most of lucky breaks and opportunities that come their way.",7,8,4
Rad Power Bikes,Yeah. I mean we definitely could not have done this without luck and timing but I think hardworking grit are there definitely been a foundation of this business. It's been a pure passion of mine since I was a youngster and you really are fanatical owners.,"Luck and timing played a significant role in our success, but hard work and passion have been the foundation of our business.",6,8,0
Jo Loves,"A little bit of everything? I think a little bit of all of those things. I think hard work, people who work hard are some of the most successful I've ever met. I'm afraid nothing happens without hard work, determination, and that resilience. My intellect, my intelligence, I started out with very little and I wouldn't consider myself an intellectual in any way, but I can hold my own in most conversations, and in any conversation, you can learn something from somebody else. And I do believe in a higher power. I believe that I was given a second chance at life to do something remarkable, and I'm determined to fulfill that. And luck, I've been in this too many times in my life, I've been at the right place at the right time and exactly the right moment for that to be coincidence. And I think as I've got to this part of my life now, I'm a little bit more, a little easier on myself, should I say, than I have been. I think all the way through, I'm not so hard on myself, but I feel I've earned a lot of money, but it's time now to do something with it. We've learned from what we can enjoy it, but what are we going to do?","Success is attributed to a combination of hard work, resilience, learning from others, belief in a higher power, and being at the right place at the right time.",5,8,4
Dutch Bros. Coffee,"Let's put it this way. The struggle is real for all of us, no matter where you are and what you do. And so the grind is part of it, but when opportunity and being prepared and meet, that's where luck lives. and you know, this life isn't fair. and you know, the loss of my brother, I, I probably learned the greatest lesson out of and realizing that, you know, I don't get to control everything. You know, I use this idea of like, life has a destination. The river has a destination, it's the ocean. And if you look at it, you know, you can get a kayak and a helmet and an oar and, and navigate your way. Or you can be a log and let it take you wear a may or you can fight it and swim upstream and exhaust yourself. And if you're able to use the resources that you've been given and you can step outside, walk downstream, see what lies ahead and try to plan for it the best of your ability, that's How I like to look at this life that we get to live and hmm. Hell, I'm the luckiest guy to ever live. I feel like","The guest believes that success is a combination of hard work, preparation, and seizing opportunities when they arise. They acknowledge the role of luck in life and emphasize the importance of utilizing resources and planning for the future.",4,8,3
Stasher and Modern Twist,"I think as an immigrant and as my mother's daughter work ethic is a given, and I do believe the harder you work, the luckier you get. But I also believe that the universe has a power and an energy of its own. Some of it not in our control. And if we embrace those things, whether we call them luck or things that were unlucky, I think that maybe we just let go of the things we can't control and think of those things that come to us as luck or things that just happened because we took a chance.","The guest believes that a combination of hard work and luck contributes to success, acknowledging that there are factors beyond our control. Embracing these uncertainties and taking chances can lead to opportunities.",4,6,0
CAVA,"Well, I like the term, I saw the term that luck is the intersection of preparation and opportunity. And I really believe that, I mean, you can have all the talent in the world, but if you don't work hard, it will all go to waste. And I think we've had a lot of counterintuitive decisions along the way, going to LA as our second market, buying a company three times our size that was struggling and converting it. People used to ask me like, you know, the baseball analogy, what inning are you in? And you say, well, we're in the early innings, but I still think we're coming outta the dugout. Look, I think that anytime you're successful in life, you gotta get lucky. I mean, I was lucky that that banker walked through my door, but he saw the hard work that we put into that restaurant and that's why he gave us that loan. I was lucky enough to meet Brett, but all along the way, we've had so much help. I, I in no way take credit for anything that has happened in the last 16 years. We have had people who have busted their ass in the, in the kitchens for us. People have, you know, busted their ass, growing these restaurants, building these restaurants, doing a lot of the heavy lifting. I get a lot of the credit people come and thank me all the time and say, your restaurant's amazing. What you do is amazing. But the people that work every single day in those restaurants, they are doing a lot of the hard work and they have really helped us build this brand and, and make this what it is today.","Success is attributed to a combination of luck, hard work, and the help of others. Luck plays a role in being at the right place at the right time, but hard work and the support of dedicated individuals are essential for achieving success.",3,7,7
Air Lease Corporation,Question/Answer not found,Question/Answer not found,0,0,0
Nature’s Path,"Well, there's an old saying, the harder I work, the luckier I get, that's true to a certain extent, but I would say fate and luck also play their part, but effort cannot be underrated.

We are very grateful that we are focused and single-minded whatever we did. And especially individually, but I did, I was determined. I have to go early in the morning. If it was six o'clock shift, I should be there five 30, if I'm needed to late 30. So be it, it's hard work. It's a combination of all those things. It's not only one single formula effort, common sense, faith. And I will also add great","The guest believes that success is a combination of hard work, fate, luck, effort, common sense, and faith.",5,8,0
Waymo,Question/Answer not found,Answer not found,0,0,0
Affirm,"That's a great question. I've, I've heard you asked this before. And I, I thought, what is my answer? And came up with very little canned, anything, you know, I think the role of luck is vastly underappreciated. I think the action you take when an opportunity appears is yours, and it's the choice and willingness to take the risk and decision to just go for it and sort of damage your dose sort of moment. But if you are unwilling to move or unable to recognize, or don't encounter these moments of opportunity, you know, it's probably not available to you. And I, I feel a certain degree of guilt that some brilliant people I know may not have had some of these moments and they, they could have been much more successful than they are. And yet I do think that probably moments of luck appear in front of most of us at some point or another in our lives. And what do you do after once you see one of those have one of those, it does come down to work ethic and just willingness to grind, then sleep less and compromise things like work-life balance, which have their own consequences. It's not free and it can be very damaging, but luck is the kickstart.","Success is a combination of luck and hard work, with luck being the kickstart and hard work being essential to seizing opportunities.",6,8,3
Xero Shoes,"That is an excellent question. So I would say I can't really break it down that way because it's sort of a hundred percent luck and a hundred percent hard work and, but it's really a hundred percent luck. Yeah. There's so many things. You know, if Chris McDowell had never written that book, if Steven wasn't an internet marketer, if he and I didn't have complimentary skillsets, I, I would never have been able to create this business without him. He would never have been able to create this business without me. So without luck, you know, there, there are just so many ways this could never have happened or had a premature demise. First of all, when I listen to your show, this is my favorite part because this is something that I think people over, well look, we know from psychological research, people over at value their own role and things that go well and undervalue it and things that go badly. When I was in film school, one of our teachers was the now late director of Mueller Foreman and someone said to him one day, how do you make a good movie? And pardon my bad check accent, milish Mueller said, well, making good movies, he's 90% casting. And as the other 10% is also casting. And so that's how I think of business. It's 90% luck and the other 10% is also luck. And then just like Lena said, there's a whole separate a hundred percent where it's 90% working your butt off and the other 10% hopefully being smart enough or finding someone smart enough to know how to put out the fires that started overnight despite the fact that nothing changed since yesterday. Yeah. So, you know, hopefully with a little gratitude, humility and not trying to reinvent a wheel that put itself together in ways that I can't imagine, it's gonna be interesting to see what happens next.","Success is attributed to a combination of luck, hard work, and the people around them. The guest believes that luck plays a significant role in creating opportunities, while hard work and complementary skillsets are essential for success.",8,7,5
Away,"I think it's, it's probably 50 50. I mean, I think for me personally, luck in timing had so much to do with, with everything I've done at every single step, just in terms of like the way we time things or the people that we met, or even just the fact that like, it was really lucky that I called staff when I did and that we didn't take the jobs that we were supposed to. But I think we, we worked our tails off, especially in that first year. Just obsessing over everything. Yeah. I mean, I don't know. I think it's like every time I saw something that excited me, I would find a way to do it. Like I never thought, oh, I need to get a degree to do that. Or I need to have certain work experience to do that. I would just find a way to do it. And I think I'm just a very curious person. That's something I learned from my dad actually. And I just followed all of my curiosities.","The guest believes that their success is a combination of luck and hard work, with luck playing a significant role in the timing of events and the people they met. They also emphasize the importance of hard work and seizing opportunities based on curiosity.",5,8,4
Zocdoc,"Well, I believe that there's really three ingredients to success and, in the order of importance, they are luck, then talent, then hard work, and the only one that's completely under your control is how hard you work, right? And working hard gives you more shots on goal. It helps you stay on top of what your talent allows. And absolutely, we started at the right time, the right place. So, what I'm proud of in all of that journey is only that when we were wrong, and when we had to revise, and when we needed the grit to actually make it work, you know, we lived up to that and that's really all that anyone can ask of themselves to do.","Success is primarily attributed to luck, followed by talent and hard work. The individual believes that hard work is the only factor completely under their control, giving them more opportunities to leverage their talent. They acknowledge the importance of starting at the right time and place, but take pride in their ability to adapt, revise, and persevere when faced with challenges.",7,8,0
DoorDash,"There's a lot of luck involved in shaping a lot of the circumstances for me, it's, it's absolutely a combination. That's the short answer, but, but when I think back in my life, I've come a long way on the shoulders of a lot of great people who I was going to meet in school to things I studied in the past that somehow have magically made its way back into my life today, to people in Silicon Valley, who, you know, before even having a, you know, a business partnership with, with me or the company who have more than volunteered their time to help me, there's been a lot of fortunate circumstances for me on the flip side, of course, there's a lot of hard work. And I think, you know, the hard work and skill is, is really not a one-person. And I think that's the thing that sometimes people forget. I think we live in a world where it's easy to idolize the stars to me, the real heroes are, or my teammates and the people whose collective hours, skills, hard work, and drive, or what has allowed me to be successful today.","Success is attributed to a combination of luck, hard work, and the support of great people.",4,6,7
Rent The Runway,Question/Answer not found,Question/Answer not found,0,0,0
Too Good To Go (2023),Question/Answer not found,Question/Answer not found,0,0,0
Aptera Motors,Question/Answer not found.,Question/Answer not found.,0,0,0
Audible,"I think it's something on the order of 54.5 to 51% purposeful, good calls and, and brave moments. And, and times when you just didn't give up the rest of it is definitely luck because otherwise, how could, I've made so many stupid boneheaded decisions along the way that didn't didn't kill us. So I think there's a fine line. You're making calls all the time. And particularly if you're a leader, you kind of got to do it. But I, I don't know. I think about it, you know, about it all the time, but I feel I was out there playing ice hockey last night. And you know, not many people my age get to play ice hockey is that luck. I think it's luck. And I think it's also that I just made it my business to try to elongate my hockey career. And I do a lot of stuff to make that real.","The guest believes that approximately 54.5 to 51% of their success is due to purposeful decision-making, good calls, and brave moments. They attribute the remaining percentage to luck, acknowledging that despite making mistakes along the way, luck played a significant role in their achievements. They also mention the importance of surrounding oneself with the right people and leveraging their network.",4,6,0
